today,tomorrow_reality,tomorrow_predict
680.95,688.89,682.769775366
682.02,686.39,692.561774802
688.89,684.83,684.874757032
686.39,678.02,684.067053154
684.83,676.18,674.434695766
678.02,673.61,675.389383507
676.18,676.9,672.280831168
673.61,682.25,678.742871722
676.9,675.8,685.025798961
682.25,676.6,672.225135155
675.8,671.4,677.204157673
676.6,667.63,668.620903193
671.4,666.73,665.758180248
667.63,674.14,666.352854322
666.73,676.46,678.155271339
674.14,670.26,677.494588554
676.46,678.17,666.908548633
670.26,679.2,682.503618416
678.17,673.05,679.55854281
679.2,674.26,669.818590851
673.05,674.6,675.032832226
674.26,674.57,674.750703626
674.6,673.25,674.545492113
674.57,674.29,672.549184685
673.25,681.91,674.878588522
674.29,683.16,685.94839448
681.91,678.18,683.612810471
683.16,675.87,675.521847688
678.18,665.29,674.785737014
675.87,658.26,659.855259162
665.29,665.07,654.843288133
658.26,666.54,668.79741041
665.07,665.14,667.158957312
666.54,660.21,664.376427691
665.14,651.49,657.673472097
660.21,653.53,647.085831289
651.49,658.89,654.77914092
653.53,663.07,661.648551643
658.89,659.7,665.140572521
663.07,654.66,657.836055312
659.7,665.14,652.10346127
654.66,665.92,670.793792298
665.14,675.16,666.067561176
665.92,674.33,679.997670132
675.16,662.66,673.659270259
674.33,666.94,656.725150678
662.66,664.15,669.363268499
666.94,664.37,662.641660698
664.15,662.45,664.546494126
664.37,663.86,661.450339362
662.45,663.5,664.641579432
663.86,664.72,663.281196869
663.5,664.87,665.350512238
664.72,672.01,664.921883764
664.87,674.7,675.649881504
672.01,675.81,675.921176187
674.7,679.8,676.316558312
675.81,682.57,681.83526626
679.8,681.07,683.895609211
682.57,687.16,680.252285795
681.07,686.96,690.320010279
687.16,685.06,686.718607793
686.96,677.94,684.109830373
685.06,684.71,674.384286407
677.94,683.28,688.272735043
684.71,682.31,682.429568035
683.28,686.26,681.85201974
682.31,687.15,688.293137059
686.26,691.36,687.506468105
687.15,697.28,693.475100062
691.36,703.18,700.169194927
697.28,700.35,705.999256991
703.18,700.04,698.824300025
700.35,701.91,699.940826381
700.04,702.04,702.843050309
701.91,700.65,702.061668009
702.04,703.78,699.948570212
700.65,705.9,705.388834645
703.78,706.26,706.886744663
705.9,711.57,706.396016623
706.26,709.35,714.187911176
711.57,707.83,708.125534192
709.35,710.59,707.128218152
707.83,716.55,711.974962639
710.59,717.24,719.432755574
716.55,716.87,717.461913436
717.24,714.47,716.675244483
716.87,717.44,713.298264167
714.47,710.79,718.943814573
717.44,709.52,707.453459041
710.79,707.51,709.047347882
709.52,712.62,706.543186636
707.51,716.29,715.197662021
712.62,716.54,717.9905788
716.29,716.6,716.584701232
716.54,715.8,716.624016064
716.6,712.21,715.409649386
715.8,710.17,710.480179938
712.21,714.71,709.246155843
710.17,713.14,716.953426708
714.71,714.92,712.299421699
713.14,710.54,715.810243704
714.92,715.07,708.383128252
710.54,716.18,717.398250213
715.07,712.94,716.621186588
716.18,719.56,711.327868788
712.94,722.14,722.803444028
719.56,723.52,723.256644273
722.14,719.26,724.135085065
723.52,720.47,717.173530203
719.26,723.86,721.151923215
720.47,722.31,725.487128118
723.86,722.38,721.480961559
722.31,724.14,722.44413773
722.38,723.22,724.977524492
724.14,727.95,722.748455384
723.22,729.87,730.220916921
727.95,731.33,730.696864669
729.87,725.58,731.99231819
731.33,724.35,722.830919735
725.58,718.45,723.868816426
724.35,710.83,715.644272563
718.45,714.93,707.275239245
710.83,716.77,717.014558294
714.93,712.66,717.575948789
716.77,712.41,710.675451053
712.66,709.39,712.370084154
712.41,707.58,707.93581034
709.39,710.04,706.765598388
707.58,716.53,711.275039482
710.04,717.73,719.639344596
716.53,719.54,718.172112061
717.73,722.02,720.379401645
719.54,720.0,723.162154646
722.02,718.86,719.00435048
720.0,722.11,718.355357901
718.86,724.31,723.685309977
722.11,724.99,725.299563604
724.31,725.37,725.270598699
724.99,725.35,725.536941798
725.37,725.03,725.333070564
725.35,727.2,724.876705773
725.03,726.99,728.247580376
727.2,733.82,726.850377388
726.99,744.1,737.094646319
733.82,740.93,748.797138136
744.1,742.74,739.260908493
740.93,741.91,743.644921867
742.74,743.41,741.480781801
741.91,746.25,744.133900098
743.41,738.21,747.544015074
746.25,737.82,734.482034214
738.21,741.8,737.773906852
737.82,738.81,743.642874219
741.8,743.49,737.371004277
738.81,751.31,745.707759224
743.49,753.46,754.846410176
751.31,750.13,754.308921313
753.46,749.72,748.584220023
750.13,751.09,749.59166261
749.72,756.89,751.733204093
751.09,760.77,759.539134339
756.89,760.57,762.442847465
760.77,761.24,760.400300433
760.57,766.83,761.545419395
761.24,767.99,769.366427773
766.83,767.41,768.415053498
767.99,766.3,767.129577605
767.41,769.01,765.806946216
766.3,772.52,770.270557235
769.01,767.51,774.066337317
772.52,769.04,765.225712156
767.51,771.75,769.80938978
769.04,776.47,772.932499031
771.75,778.88,778.524885061
776.47,775.54,779.869891652
778.88,778.32,774.013098481
775.54,782.65,779.605558971
778.32,775.73,784.519429067
782.65,766.56,772.570586637
775.73,769.36,762.647910058
766.56,774.17,770.773608389
769.36,778.3,776.259032758
774.17,777.6,780.041931275
778.3,768.91,777.214762938
777.6,767.49,765.081557769
768.91,771.3,767.009920529
767.49,768.41,773.011389306
771.3,761.86,767.071461644
768.41,759.74,759.007192739
761.86,767.27,758.905703881
759.74,773.88,770.720108944
767.27,771.5,776.697080411
773.88,777.09,770.317727588
771.5,783.55,779.641895407
777.09,786.81,786.309705923
783.55,786.23,788.118337146
786.81,788.49,785.926125694
786.23,788.68,789.482963924
788.49,792.98,788.717516045
788.68,791.57,794.868872622
792.98,773.66,790.861663625
791.57,773.43,765.97857631
773.66,772.08,773.680746671
773.43,776.17,771.490061647
772.08,771.06,777.981662785
776.17,773.57,768.754702379
