date|close_price|high_price|low_price
23/10/2013|504.05|504.81|501.41
24/10/2013|501.17|505.74|500.64
25/10/2013|500.75|503.17|499.53
28/10/2013|496.46|501.86|496.46
29/10/2013|497.08|497.74|494.01
30/10/2013|499.07|500.97|497.95
31/10/2013|497.41|500.59|497.41
01/11/2013|497.08|499.27|496.93
04/11/2013|497.07|498.49|495.68
05/11/2013|499.79|500.28|495.84
06/11/2013|502.52|502.52|499.58
07/11/2013|499.86|503.30|499.29
08/11/2013|498.61|500.47|498.33
11/11/2013|501.08|501.08|497.41
12/11/2013|497.65|501.36|496.79
13/11/2013|496.12|498.62|495.68
14/11/2013|497.85|498.82|496.12
15/11/2013|501.34|502.12|497.72
18/11/2013|506.48|507.41|503.33
19/11/2013|504.71|507.63|504.71
20/11/2013|505.52|505.75|502.98
21/11/2013|503.54|510.21|503.54
22/11/2013|505.64|506.46|502.83
25/11/2013|506.46|509.72|506.08
26/11/2013|509.16|510.75|504.65
27/11/2013|508.43|513.25|507.66
28/11/2013|507.71|509.15|506.99
29/11/2013|507.78|508.78|506.05
02/12/2013|508.53|509.48|507.10
03/12/2013|511.62|514.83|508.13
04/12/2013|510.88|513.40|510.66
05/12/2013|510.03|512.21|507.52
06/12/2013|510.12|512.37|509.76
09/12/2013|511.23|514.13|510.94
10/12/2013|511.60|513.83|510.24
11/12/2013|505.31|511.81|504.90
12/12/2013|506.92|507.68|503.76
13/12/2013|506.06|509.35|505.49
16/12/2013|502.04|506.52|502.04
17/12/2013|505.67|505.67|502.20
18/12/2013|505.25|506.11|503.66
19/12/2013|506.28|508.04|504.92
20/12/2013|504.45|508.29|504.45
23/12/2013|508.68|509.41|505.73
24/12/2013|505.62|509.54|505.62
25/12/2013|504.42|506.53|503.03
26/12/2013|506.55|507.57|503.59
27/12/2013|506.41|510.09|506.41
30/12/2013|500.35|507.02|500.35
31/12/2013|504.63|506.44|499.49
02/01/2014|504.51|506.71|503.04
03/01/2014|505.37|506.28|503.94
06/01/2014|509.10|509.10|504.28
07/01/2014|510.12|513.00|509.87
08/01/2014|513.90|514.20|509.01
09/01/2014|516.98|516.98|513.52
10/01/2014|518.94|523.06|518.24
13/01/2014|521.11|522.32|518.78
14/01/2014|522.31|524.59|520.63
15/01/2014|526.68|527.09|522.45
16/01/2014|533.54|533.54|527.90
17/01/2014|543.59|549.88|536.81
20/01/2014|553.67|559.93|548.22
21/01/2014|559.91|560.18|547.65
22/01/2014|551.92|564.61|551.92
23/01/2014|553.55|556.50|550.52
24/01/2014|560.19|560.19|553.46
27/01/2014|556.52|560.49|556.35
06/02/2014|554.68|557.29|551.45
07/02/2014|549.76|558.51|549.37
10/02/2014|555.90|555.90|548.56
11/02/2014|553.90|561.83|553.90
12/02/2014|564.25|564.25|554.26
13/02/2014|570.18|570.68|565.27
14/02/2014|572.22|576.18|569.38
17/02/2014|570.20|572.85|567.89
18/02/2014|574.56|574.56|570.16
19/02/2014|578.12|578.80|573.86
20/02/2014|571.04|584.10|565.31
21/02/2014|570.57|574.61|565.33
24/02/2014|576.58|576.58|570.07
25/02/2014|586.20|586.20|575.49
26/02/2014|589.81|590.79|582.96
27/02/2014|587.79|596.40|587.79
28/02/2014|586.48|591.36|581.63
03/03/2014|573.38|587.11|573.37
04/03/2014|569.97|572.28|563.55
05/03/2014|574.94|577.50|569.97
06/03/2014|578.56|580.04|574.58
07/03/2014|579.75|582.24|579.10
10/03/2014|583.69|584.64|579.98
11/03/2014|588.50|589.45|582.20
12/03/2014|590.02|596.38|590.02
13/03/2014|595.22|595.22|590.36
14/03/2014|596.83|600.68|594.51
17/03/2014|600.36|603.24|598.70
18/03/2014|599.85|603.21|597.78
19/03/2014|605.59|605.91|600.42
20/03/2014|600.26|608.51|600.03
21/03/2014|601.75|607.22|600.26
24/03/2014|607.55|609.20|604.18
25/03/2014|601.85|609.46|601.85
26/03/2014|588.06|603.68|587.52
27/03/2014|590.14|591.70|582.81
28/03/2014|594.29|595.70|590.59
31/03/2014|591.57|597.22|591.57
01/04/2014|583.85|593.03|582.30
02/04/2014|581.67|586.50|574.40
03/04/2014|589.44|590.91|582.83
04/04/2014|593.04|593.72|588.34
07/04/2014|600.57|602.55|595.35
08/04/2014|603.25|603.25|598.52
10/04/2014|601.33|608.89|600.43
11/04/2014|600.57|602.01|594.96
14/04/2014|596.11|602.70|596.05
15/04/2014|586.09|597.99|586.09
16/04/2014|574.29|585.51|567.61
17/04/2014|580.31|583.51|575.83
18/04/2014|565.33|580.89|565.33
21/04/2014|558.14|568.44|558.14
22/04/2014|569.87|569.87|556.47
23/04/2014|569.36|573.39|567.04
24/04/2014|570.46|571.57|566.94
25/04/2014|578.92|580.74|571.71
28/04/2014|573.10|580.70|573.10
29/04/2014|578.00|578.21|570.64
05/05/2014|564.85|580.11|564.47
06/05/2014|555.11|562.36|545.97
07/05/2014|559.97|561.56|553.21
08/05/2014|527.09|550.75|525.37
09/05/2014|542.46|542.56|522.70
12/05/2014|517.05|536.82|512.25
13/05/2014|513.91|518.45|508.51
14/05/2014|529.53|529.59|509.82
15/05/2014|524.05|537.27|512.41
16/05/2014|529.49|529.49|519.39
19/05/2014|533.04|534.68|525.82
20/05/2014|537.52|537.93|527.69
21/05/2014|543.88|543.93|533.19
22/05/2014|541.73|547.20|541.43
23/05/2014|541.49|545.30|540.51
26/05/2014|544.06|544.93|536.27
27/05/2014|552.75|552.75|542.49
28/05/2014|557.34|557.93|553.03
29/05/2014|558.45|562.33|555.32
30/05/2014|562.02|565.05|557.20
02/06/2014|556.80|563.12|554.44
03/06/2014|558.76|560.62|554.96
04/06/2014|553.46|559.19|550.23
05/06/2014|551.10|553.96|548.47
06/06/2014|559.04|559.04|551.80
09/06/2014|565.61|571.83|558.64
10/06/2014|566.89|571.73|564.32
11/06/2014|570.36|573.05|566.51
12/06/2014|573.77|574.75|568.58
13/06/2014|574.48|577.27|573.03
16/06/2014|572.37|575.87|571.76
17/06/2014|572.25|573.15|567.58
18/06/2014|570.03|575.03|570.03
19/06/2014|567.35|569.41|558.65
20/06/2014|560.78|571.76|560.78
23/06/2014|565.92|567.71|561.97
24/06/2014|569.74|570.37|565.12
25/06/2014|572.27|574.62|569.27
26/06/2014|576.40|578.29|570.33
27/06/2014|578.82|580.75|575.10
30/06/2014|578.13|582.26|577.76
01/07/2014|578.07|582.16|577.30
02/07/2014|578.80|581.89|576.88
03/07/2014|585.02|585.02|580.55
04/07/2014|589.35|591.38|585.66
07/07/2014|590.69|594.84|589.61
08/07/2014|591.47|593.40|588.54
09/07/2014|591.60|593.42|590.46
10/07/2014|584.88|591.35|581.49
11/07/2014|582.77|586.57|580.54
14/07/2014|586.23|586.23|581.99
15/07/2014|589.31|590.09|587.68
16/07/2014|589.68|594.29|589.68
17/07/2014|590.37|591.42|586.07
18/07/2014|596.26|596.26|589.33
21/07/2014|601.04|604.64|596.96
22/07/2014|597.98|600.93|594.85
23/07/2014|597.50|599.56|594.10
24/07/2014|602.06|602.49|597.03
25/07/2014|600.14|605.78|600.14
28/07/2014|589.45|599.35|587.78
29/07/2014|592.24|592.24|585.75
30/07/2014|589.33|593.58|588.53
31/07/2014|596.07|596.11|587.68
01/08/2014|593.90|596.80|592.38
04/08/2014|599.04|600.52|592.04
05/08/2014|607.73|607.73|599.10
06/08/2014|606.70|610.88|605.63
07/08/2014|607.62|608.42|603.13
08/08/2014|605.43|610.09|604.08
11/08/2014|602.13|607.16|600.48
12/08/2014|601.78|604.89|598.71
13/08/2014|602.76|604.51|599.64
14/08/2014|605.25|607.84|604.08
15/08/2014|604.24|608.46|603.24
18/08/2014|605.08|607.79|603.33
19/08/2014|604.64|609.04|603.61
20/08/2014|606.70|608.72|602.81
21/08/2014|612.94|616.96|608.58
22/08/2014|620.14|622.97|614.51
25/08/2014|625.88|629.58|622.16
26/08/2014|629.06|631.17|625.10
27/08/2014|628.77|632.25|624.68
28/08/2014|632.03|635.94|626.32
29/08/2014|636.65|640.19|631.11
03/09/2014|640.75|644.56|638.95
04/09/2014|640.22|642.88|636.56
05/09/2014|638.65|641.96|638.55
08/09/2014|639.85|642.72|639.19
09/09/2014|626.92|641.20|622.76
10/09/2014|628.80|630.03|618.54
11/09/2014|628.99|633.60|626.26
12/09/2014|632.50|632.91|627.42
15/09/2014|630.34|636.65|630.34
16/09/2014|627.66|631.59|623.66
17/09/2014|625.66|632.22|625.66
18/09/2014|615.80|627.29|615.80
19/09/2014|613.29|619.80|612.40
22/09/2014|611.93|621.36|611.93
23/09/2014|610.39|615.99|610.39
24/09/2014|603.59|611.61|603.59
25/09/2014|605.10|605.50|594.28
26/09/2014|604.98|610.15|604.98
29/09/2014|599.78|605.03|599.78
30/09/2014|598.80|601.54|594.00
01/10/2014|609.27|611.74|603.44
02/10/2014|612.66|614.80|607.57
03/10/2014|611.55|615.42|610.55
06/10/2014|614.42|616.13|611.77
07/10/2014|614.08|617.01|612.94
08/10/2014|617.26|618.37|611.98
09/10/2014|624.34|626.90|622.25
10/10/2014|617.72|627.49|617.72
13/10/2014|614.22|618.29|608.27
14/10/2014|605.79|616.71|605.79
15/10/2014|604.29|606.40|596.50
16/10/2014|587.17|603.59|585.76
17/10/2014|585.28|591.85|577.79
20/10/2014|589.24|593.20|585.70
21/10/2014|600.55|601.14|588.75
22/10/2014|601.59|603.97|598.99
23/10/2014|593.53|602.02|593.11
24/10/2014|591.51|595.33|588.72
27/10/2014|580.80|591.59|580.02
28/10/2014|583.13|584.43|578.44
29/10/2014|591.20|591.83|585.68
30/10/2014|589.14|594.30|589.14
31/10/2014|600.84|600.84|588.16
03/11/2014|603.15|606.94|602.51
04/11/2014|598.39|604.47|598.39
05/11/2014|597.01|602.53|593.53
06/11/2014|597.85|601.28|596.73
07/11/2014|602.59|603.32|597.73
10/11/2014|602.12|607.50|602.12
11/11/2014|604.23|608.68|601.85
12/11/2014|604.01|606.36|603.12
13/11/2014|603.16|607.29|602.62
14/11/2014|600.36|602.51|596.95
17/11/2014|600.93|604.63|600.93
18/11/2014|594.25|602.53|594.25
19/11/2014|588.35|597.29|588.35
20/11/2014|593.32|594.76|589.84
21/11/2014|588.03|596.02|588.03
24/11/2014|582.53|586.54|580.92
25/11/2014|585.91|588.42|583.53
26/11/2014|576.04|588.16|575.09
27/11/2014|572.89|575.82|567.36
28/11/2014|566.58|572.12|565.10
01/12/2014|568.01|571.69|565.09
02/12/2014|569.43|570.79|568.55
03/12/2014|574.88|575.95|570.44
04/12/2014|578.38|581.27|576.63
05/12/2014|578.76|582.42|578.18
08/12/2014|571.68|577.44|569.24
09/12/2014|555.31|567.55|554.51
10/12/2014|557.19|558.47|544.78
